"DEPCOM","millesime","nb_logt_total","nb_ls_actif","nb_ls_qpv","nb_ls_coll","nb_ls_ind","nb_ls_etu","nb_ls_loue","nb_ls_vacant","nb_ls_vacant_3","nb_ls_vide","nb_ls_association","nb_ls_autre","num_mob","denom_mob","nb_mes","nb_ls_age_0_5","nb_ls_age_5_10","nb_ls_age_10_20","nb_ls_age_20_40","nb_ls_age_40_60","nb_ls_age_60_plus","nb_ls_dpe_realise","nb_ls_dpe_new_ener_A","nb_ls_dpe_new_ener_B","nb_ls_dpe_new_ener_C","nb_ls_dpe_new_ener_D","nb_ls_dpe_new_ener_E","nb_ls_dpe_new_ener_F","nb_ls_dpe_new_ener_G","somme_loyer","somme_surface"
"32064",2025,4,4,0,4,0,0,2,0,0,2,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,1,0,0,0,523,86
"32070",2025,11,11,0,4,7,0,11,0,0,0,0,0,1,11,0,0,0,4,0,0,7,11,0,4,0,1,0,0,0,4593,887
"32076",2025,14,14,0,8,6,0,13,0,0,1,0,0,3,13,0,0,9,5,0,0,0,14,0,0,1,1,0,0,0,6158,988
"32079",2025,30,30,0,0,30,0,29,0,0,0,0,1,0,29,0,0,13,8,9,0,0,30,0,0,6,3,0,0,0,12881,2119
"32083",2025,25,25,0,13,12,0,25,0,0,0,0,0,2,25,0,11,0,0,11,3,0,25,0,0,0,0,0,0,0,10801,1771
"32085",2025,4,4,0,2,2,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,1338,300
"32087",2025,6,6,0,0,6,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,2538,382
"32088",2025,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,324,59
"32095",2025,12,12,0,0,12,0,12,0,0,0,0,0,2,12,0,0,11,0,1,0,0,12,0,1,2,0,0,0,0,5290,856
"32096",2025,24,24,0,16,8,0,23,0,0,0,0,1,1,23,0,0,0,0,0,24,0,24,0,0,16,0,8,0,0,6877,1658
"32101",2025,9,9,0,0,9,0,9,0,0,0,0,0,3,9,0,0,0,9,0,0,0,9,0,0,1,1,0,0,0,4131,659
"32102",2025,11,11,0,4,7,0,11,0,0,0,0,0,2,11,0,0,0,11,0,0,0,11,0,0,8,0,0,0,0,5139,865
"32105",2025,8,8,0,0,8,0,8,0,0,0,0,0,0,8,0,0,8,0,0,0,0,8,2,3,3,0,0,0,0,3866,628
"32106",2025,46,46,0,18,28,0,41,1,0,3,0,1,4,42,0,0,0,5,18,12,11,46,2,10,12,4,5,9,0,16253,2982
"32107",2025,379,379,0,126,253,0,359,2,1,14,1,3,24,361,0,0,6,55,99,155,64,379,0,0,93,158,10,0,0,134695,25405
"32112",2025,7,7,0,0,7,0,7,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,3681,591
"32115",2025,2,2,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1072,180
"32117",2025,20,20,0,0,20,0,19,1,0,0,0,0,0,20,0,0,0,9,11,0,0,20,0,0,8,0,0,0,0,9280,1503
"32119",2025,181,181,0,124,57,0,176,1,0,3,0,1,9,177,0,0,16,21,19,107,18,181,0,0,78,44,5,14,0,62060,12230
"32124",2025,3,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1343,257
"32127",2025,7,7,0,7,0,0,7,0,0,0,0,0,0,7,0,0,0,0,7,0,0,7,0,0,0,1,0,0,0,2710,543
"32131",2025,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,980,158
"32132",2025,257,257,0,190,67,0,247,10,5,0,0,0,28,257,0,10,48,46,37,110,6,257,0,0,39,106,14,2,0,89836,15922
"32133",2025,3,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1484,252
"32136",2025,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,873,160
"32144",2025,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,673,155
"32147",2025,192,192,0,145,47,0,184,6,1,1,0,1,16,139,51,116,20,0,22,34,0,165,15,21,10,9,27,0,0,72253,12178
"32149",2025,10,10,0,0,10,0,10,0,0,0,0,0,0,10,0,0,0,2,8,0,0,10,0,0,0,0,0,0,0,4704,824
"32155",2025,49,49,0,39,10,0,47,2,1,0,0,0,3,49,0,0,0,21,20,8,0,49,0,0,17,13,0,0,0,18111,2978
"32156",2025,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1104,221
"32159",2025,4,4,0,0,4,0,4,0,0,0,0,0,1,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1899,318
"32160",2025,417,417,0,237,180,0,406,5,1,1,3,2,35,411,0,66,120,127,39,64,1,417,27,7,123,85,1,0,0,175807,28633
"32162",2025,12,12,0,10,2,0,12,0,0,0,0,0,1,8,4,2,0,0,8,0,2,12,0,0,1,3,0,0,0,4839,773
"32163",2025,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,509,94
"32172",2025,6,6,0,2,4,0,6,0,0,0,0,0,0,6,0,2,1,3,0,0,0,6,2,0,3,0,0,0,0,3294,609
"32174",2025,5,5,0,0,5,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,2215,359
"32177",2025,5,5,0,0,5,0,4,1,1,0,0,0,1,5,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,1717,324
"32178",2025,3,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,1565,248
"32180",2025,35,35,0,13,22,0,35,0,0,0,0,0,9,35,0,13,14,8,0,0,0,35,0,3,13,1,0,0,0,13994,1969
"32183",2025,3,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,1156,205
